Date,SOI,PDO,AO,Year,Month,Day,Hour,PC1,PC2,PC1_2_Amp
1875-10-01,0.93,-0.152,,1875,10,1,,,,
1875-11-01,-1.54,0.205,,1875,11,1,,,,
1875-12-01,-0.54,-0.287,,1875,12,1,,,,
1876-01-01,1.16,-0.814,,1876,1,1,,,,
1876-02-01,0.98,-0.823,,1876,2,1,,,,
1876-03-01,-0.1,-0.997,,1876,3,1,,,,
1876-04-01,0.94,-1.217,,1876,4,1,,,,
1876-05-01,0.75,-1.114,,1876,5,1,,,,
1876-06-01,1.98,-0.988,,1876,6,1,,,,
1876-07-01,-0.51,-1.348,,1876,7,1,,,,
1876-08-01,1.08,-1.429,,1876,8,1,,,,
1876-09-01,0.98,-1.098,,1876,9,1,,,,
1876-10-01,-1.0,0.211,,1876,10,1,,,,
1876-11-01,-0.46,0.603,,1876,11,1,,,,
1876-12-01,-0.45,0.234,,1876,12,1,,,,
1877-01-01,-0.88,0.19,,1877,1,1,,,,
1877-02-01,-1.44,0.378,,1877,2,1,,,,
1877-03-01,-1.07,0.274,,1877,3,1,,,,
1877-04-01,-3.87,0.062,,1877,4,1,,,,
1877-05-01,-1.71,0.02,,1877,5,1,,,,
1877-06-01,-4.34,0.349,,1877,6,1,,,,
1877-07-01,-0.96,1.449,,1877,7,1,,,,
1877-08-01,-1.06,1.119,,1877,8,1,,,,
1877-09-01,-1.71,1.308,,1877,9,1,,,,
1877-10-01,-1.7,1.035,,1877,10,1,,,,
1877-11-01,-1.31,0.973,,1877,11,1,,,,
1877-12-01,-1.52,0.917,,1877,12,1,,,,
1878-01-01,-0.98,1.149,,1878,1,1,,,,
1878-02-01,-2.22,1.415,,1878,2,1,,,,
1878-03-01,-1.86,1.411,,1878,3,1,,,,
1878-04-01,-1.07,1.443,,1878,4,1,,,,
1878-05-01,0.1,1.547,,1878,5,1,,,,
1878-06-01,-0.59,1.25,,1878,6,1,,,,
1878-07-01,1.6,0.992,,1878,7,1,,,,
1878-08-01,1.12,0.385,,1878,8,1,,,,
1878-09-01,1.7,-0.633,,1878,9,1,,,,
1878-10-01,0.94,-0.394,,1878,10,1,,,,
1878-11-01,1.39,0.002,,1878,11,1,,,,
1878-12-01,1.89,0.815,,1878,12,1,,,,
1879-01-01,1.28,0.582,,1879,1,1,,,,
1879-02-01,1.33,0.412,,1879,2,1,,,,
1879-03-01,1.3,0.497,,1879,3,1,,,,
1879-04-01,1.59,0.633,,1879,4,1,,,,
1879-05-01,0.1,-0.351,,1879,5,1,,,,
1879-06-01,1.85,-0.803,,1879,6,1,,,,
1879-07-01,2.19,-1.049,,1879,7,1,,,,
1879-08-01,2.2,-0.369,,1879,8,1,,,,
1879-09-01,1.8,-0.03,,1879,9,1,,,,
1879-10-01,1.53,-0.105,,1879,10,1,,,,
1879-11-01,0.76,-0.481,,1879,11,1,,,,
1879-12-01,-0.71,0.012,,1879,12,1,,,,
1880-01-01,1.14,-0.093,,1880,1,1,,,,
1880-02-01,0.7,-0.462,,1880,2,1,,,,
1880-03-01,1.43,-0.993,,1880,3,1,,,,
1880-04-01,0.79,-1.437,,1880,4,1,,,,
1880-05-01,1.22,-1.993,,1880,5,1,,,,
1880-06-01,0.97,-1.957,,1880,6,1,,,,
1880-07-01,0.21,-1.429,,1880,7,1,,,,
1880-08-01,1.26,-0.969,,1880,8,1,,,,
1880-09-01,0.73,-0.959,,1880,9,1,,,,
1880-10-01,0.56,0.069,,1880,10,1,,,,
1880-11-01,0.74,-0.062,,1880,11,1,,,,
1880-12-01,-0.33,-0.033,,1880,12,1,,,,
1881-01-01,-0.84,0.059,,1881,1,1,,,,
1881-02-01,-0.67,0.142,,1881,2,1,,,,
1881-03-01,0.02,0.462,,1881,3,1,,,,
1881-04-01,0.43,0.753,,1881,4,1,,,,
1881-05-01,-0.56,0.893,,1881,5,1,,,,
1881-06-01,-0.78,0.53,,1881,6,1,,,,
1881-07-01,-0.51,-0.489,,1881,7,1,,,,
1881-08-01,-1.39,-0.934,,1881,8,1,,,,
1881-09-01,-1.35,-0.115,,1881,9,1,,,,
1881-10-01,-2.6,-0.115,,1881,10,1,,,,
1881-11-01,0.49,-0.199,,1881,11,1,,,,
1881-12-01,0.7,-0.804,,1881,12,1,,,,
1882-01-01,-0.76,-1.287,,1882,1,1,,,,
1882-02-01,-0.26,-1.372,,1882,2,1,,,,
1882-03-01,0.41,-1.333,,1882,3,1,,,,
1882-04-01,-0.06,-1.059,,1882,4,1,,,,
1882-05-01,0.35,-0.723,,1882,5,1,,,,
1882-06-01,-1.75,-0.582,,1882,6,1,,,,
1882-07-01,-2.13,-1.542,,1882,7,1,,,,
1882-08-01,-2.74,-0.652,,1882,8,1,,,,
1882-09-01,-1.44,-0.532,,1882,9,1,,,,
1882-10-01,-0.09,-0.747,,1882,10,1,,,,
1882-11-01,0.21,-0.488,,1882,11,1,,,,
1882-12-01,1.04,0.013,,1882,12,1,,,,
1883-01-01,0.48,-0.377,,1883,1,1,,,,
1883-02-01,-0.95,-0.847,,1883,2,1,,,,
1883-03-01,-2.94,-0.458,,1883,3,1,,,,
